start_time,innode,inqueue,status,node_1_startprogress,node_1_end,node_2_startprogress,node_2_end,node_3_startprogress,node_3_end,node_4_startprogress,node_4_end,node_5_startprogress,node_5_end,node_6_startprogress,node_6_end,node_7_startprogress,node_7_end,node_8_startprogress,node_8_end
4889.260071641757,1.0,0.0,3.0,4890.356126312382,4891.911193876107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4889.7365040999175,1.0,0.0,3.0,4891.911193876107,4891.99500311673,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4890.5052341091405,1.0,0.0,3.0,4895.1006839250385,4895.235006008407,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4892.6950517543155,1.0,0.0,3.0,4895.235006008407,4895.5991875014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4892.819752294301,1.0,0.0,3.0,4895.5991875014,4896.335814423404,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4892.892094506189,1.0,0.0,3.0,4896.335814423404,4896.347015668433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4893.267080171032,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4871.791617648895,8.0,0.0,4.0,4874.22265473627,4874.328597548728,4878.655312028521,4878.7508352846135,4880.767233708354,4881.466593775092,4881.759035919272,4883.116867539253,4886.9841336884565,4887.761474228146,4887.761474228146,4887.969398214131,4890.2304052179115,4891.417105641356,4895.200885114709,4897.332412636666
4873.144323366293,8.0,0.0,4.0,4874.328597548728,4874.45111943542,4878.7508352846135,4878.913788723045,4881.466593775092,4883.133536289046,4883.133536289046,4883.549501422362,4887.761474228146,4889.976228622023,4889.976228622023,4890.43190957793,4891.417105641356,4891.86760531925,4897.332412636666,4898.120673702777
4873.159554288554,8.0,0.0,4.0,4874.45111943542,4876.980183259059,4878.913788723045,4879.014460295315,4883.133536289046,4884.006725817493,4884.006725817493,4885.709389151682,4889.976228622023,4890.992845214744,4890.992845214744,4891.679931647369,4891.86760531925,4892.174230947453,4898.120673702777,4898.223547793054
4873.7479391405905,8.0,0.0,4.0,4876.980183259059,4878.441858138703,4879.014460295315,4881.465782943239,4884.006725817493,4884.428097162426,4885.709389151682,4885.751864068323,4890.992845214744,4892.817103979151,4892.817103979151,4893.70296426136,4893.70296426136,4896.966191075665,4898.223547793054,4898.397031295435
4883.280371512035,5.0,0.0,3.0,4888.519278509961,4889.070942430207,4893.8467385136155,4897.420456470281,4897.420456470281,4897.732575870818,4899.941107965335,4901.409096820582,4901.409096820582,4901.411458704452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4896.061984218076,1.0,0.0,3.0,4899.4063199504835,4899.530275486213,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4896.970785875931,1.0,0.0,3.0,4899.530275486213,4901.460326676877,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4897.358190734764,1.0,0.0,3.0,4901.460326676877,4901.59436140539,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4898.052614678837,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4876.940429096627,8.0,0.0,4.0,4878.441858138703,4879.500711498611,4881.465782943239,4885.090003096897,4885.090003096897,4888.650637101344,4888.650637101344,4889.58724794404,4892.817103979151,4896.202724510747,4896.202724510747,4898.694032774154,4898.694032774154,4903.434797344307,4903.434797344307,4903.646382540138
4878.005605817758,8.0,0.0,4.0,4879.500711498611,4880.126803111519,4885.090003096897,4886.118664832038,4888.650637101344,4890.62212072272,4890.62212072272,4892.504602276717,4896.202724510747,4898.781816919349,4898.781816919349,4901.747457284826,4903.434797344307,4903.906832811764,4903.906832811764,4904.526206618647
4879.684210343323,8.0,0.0,4.0,4880.126803111519,4881.710610595265,4886.118664832038,4887.3755369500195,4890.62212072272,4890.678026905204,4892.504602276717,4894.758732839961,4898.781816919349,4899.326785554064,4901.747457284826,4901.759839225155,4903.906832811764,4905.8195854425385,4905.8195854425385,4905.950219375993
4899.175863037054,1.0,0.0,3.0,4901.59436140539,4901.644581966999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4905.017421534258,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4905.418745956531,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4905.773310223749,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4905.9359323924145,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4880.4910967592805,8.0,0.0,4.0,4881.710610595265,4881.719752691427,4887.3755369500195,4889.515345408598,4890.678026905204,4892.80249462516,4894.758732839961,4896.2158562049435,4899.326785554064,4899.494788758236,4901.759839225155,4902.619430587838,4905.8195854425385,4906.904865414575,4906.904865414575,4909.0680628982755
4880.594205919164,8.0,0.0,4.0,4881.719752691427,4881.836055056533,4889.515345408598,4889.94105146047,4892.80249462516,4893.035012593667,4896.2158562049435,4899.917705127958,4899.917705127958,4900.626418096339,4902.619430587838,4903.545559717211,4906.904865414575,4906.9789666871775,4909.0680628982755,4909.164441829821
4907.342832287327,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
